,isExternalPostamat,id,wayInfoImagesCount,address,workTime,wayInfo,imageLocationPath,cityId,cityName,cityNameUfu,regionName,coordinates,sale,smId,fastestDatesByStore,deliveryPointType,bonus,legacyDstId,isWb,iconType,phones,country
93,False,111972,3,"г Гулькевичи Краснодарский край, Гулькевичский район Прибрежная улица 2",Ежедневно 10:00-21:00,,Img111972,3343,Гулькевичи,gulkevichi,,"45.354397,40.672989",0,6,{},0,0,6256876,True,,,Russia
94,False,102039,3,"г. Конаково (Тверская область), улица Набережная Волги, д. 38А",Ежедневно 10:00-21:00,,Img102039,5922,Конаково,konakovo,,"56.716917753,36.76751294",0,6,{},0,0,6254006,True,,,Russia
95,False,110258,3,"г Энгельс (Саратовская область),  улица Ломоносова 1",Ежедневно 10:00-21:00,,Img110258,5778,Энгельс,engels,,"51.469721,46.136412",0,6,{},0,0,6257094,True,,,Russia
96,False,105349,3,"г. Уржум (Кировская область), улица Чернышевского, д. 7",Ежедневно 10:00-21:00,,Img105349,4849,Уржум,urzhum,,"57.110012,50.004627",0,6,{},0,0,6255185,True,,,Russia
97,False,17905,3,"г. Салават (Республика Башкортостан), Октябрьская улица, д. 46",Ежедневно 10:00-21:00,,Img17905,1999,Салават,salavat,,"53.356102372,55.932067618",0,6,{},0,0,6253657,True,,,Russia
98,False,105924,3,г Самара (Самарская обл) Стара-Загора 160,Ежедневно 10:00-21:00,,Img105924,5755,Самара,samara,,"53.248809,50.236185",0,6,{},0,0,6255901,True,,,Russia
99,False,17282,3,"станица Ханская (Республика Адыгея), улица Ленина, д. 59",Ежедневно 10:00-21:00,,Img17282,1948,Майкоп,maykop,,"44.678694351,39.961065105",0,6,{},0,0,6146575,True,,,Russia
100,False,102587,3,"г. Шарыпово (Красноярский край), Пионерный микрорайон, д. 26",Ежедневно 10:00-21:00,,Img102587,3372,Шарыпово,sharypovo,,"55.524718,89.19147",0,6,{},0,0,6254400,True,,,Russia
101,False,111486,3,"г Полярные Зори (Мурманская область), улица Ломоносова 6",Ежедневно 10:00-21:00,,Img111486,5557,Полярные Зори,polyarnye-zori,,"67.369647,32.50736",0,6,{},0,0,6257467,True,,,Russia
102,False,102064,3,"г. Унеча (Брянская область), Октябрьская улица, д. 17",Ежедневно 10:00-21:00,,Img102064,4208,Унеча,unecha,,"52.846555,32.670151",0,6,{},0,0,6254490,True,,,Russia
103,False,17522,3,"г. Зеленоград (Москва), к. 2022",Ежедневно 10:00-21:00,,Img17522,2368791,Зеленоград,zelenograd,,"55.976278,37.1675",0,6,{},0,0,6211489,True,,,Russia
